Gender,Age,HeadCircumference,ShoulderWidth,ChestWidth,Belly,Waist,Hips,ArmLength,ShoulderToWaist
1,30,22,18,,,,,,
1,28,19,22,,,,,,
2,27,21,18,,,,,,
1,29,20,20,,,,,,
2,28,16,14,,,,,,
2,22,17,19,,,,,,
2,18,25,17,,,,,,
2,26,18,15,,,,,,
1,23,16,16,,,,,,
1,31,15,20,,,,,,
1,29,16,28,,,,,,
1,35,23,21,,,,,,
2,29,21,19,,,,,,
1,30,19,17,,,,,,
2,20,24,21,,,,,,
2,27,19,15,,,,,,
2,24,16,20,,,,,,
1,30,21,18,,,,,,
1,35,20,16,,,,,,
1,29,18,15,,,,,,
1,35,25,18,,,,,,
2,29,80,19,,,,,,
2,27,21,21,,,,,,
1,26,16,22,,,,,,
2,24,15,19,,,,,,
1,20,16,16,,,,,,
1,30,20,17,,,,,,
1,35,17,18,,,,,,
1,31,19,15,,,,,,
1,20,28,14,,,,,,
1,24,29,20,,,,,,
2,27,17,22,,,,,,
1,29,19,20,,,,,,
1,27,24,19,,,,,,
2,18,15,21,,,,,,
2,19,14,22,,,,,,
2,20,19,19,,,,,,
2,24,17,21,,,,,,
1,22,18,16,,,,,,
1,24,20,17,,,,,,
2,25,22,17,,,,,,
1,21,23,17,,,,,,
1,25,22,17,,,,,,
1,22,20,18,,,,,,
2,21,19,20,,,,,,
2,19,19,20,,,,,,
2,17,19,21,,,,,,
1,18,27,16,,,,,,
1,25,26,16,,,,,,
2,30,26,14,,,,,,
2,29,19,19,,,,,,
2,28,20,18,,,,,,
1,30,22,15,,,,,,
1,25,19,21,,,,,,
1,30,18,20,,,,,,
2,18,17,21,,,,,,
2,19,17,18,,,,,,
1,28,20,20,,,,,,
2,17,21,19,,,,,,
1,6,17,9,,,,,,
1,8,19,15,,,,,,
1,24,21,17,,,,,,
2,54,26,18,,,,,,
1,16,16,13,,,,,,
2,24,24,21,,,,,,
1,15,19,15,,,,,,
1,4,18,13,,,,,,
1,21,22,16,,,,,,
1,38,20,17,,,,,,
1,49,23,16,,,,,,
2,22,24,18,,,,,,
1,3,15,7,,,,,,
1,12,19,16,,,,,,
2,18,22,18,,,,,,
1,37,25,19,,,,,,
1,21,17,14,,,,,,
1,16,23,15,,,,,,
1,19,20,18,,,,,,
2,32,16,7,,,,,,
2,3,21,19,,,,,,
1,42,24,15,,,,,,
1,2,15,7,,,,,,
1,50,20,18,,,,,,
1,37,21,19,,,,,,
1,20,24,13,,,,,,
2,7,17,11,,,,,,
1,17,19,10,,,,,,
1,24,20,18,,,,,,
1,3,16,8,,,,,,
1,34,20,18,,,,,,
2,24,22,16,,,,,,
1,21,18,14,,,,,,
1,6,20,18,,,,,,
1,31,16,14,,,,,,
1,4,20,16,,,,,,
1,7,26,19,,,,,,
1,54,20,17,,,,,,
1,19,20,16,,,,,,
2,15,23,16,,,,,,
1,24,22,17,,,,,,
1,32,20,17,,,,,,
1,16,16,8,,,,,,
2,2,20,19,,,,,,
1,28,22,19,,,,,,
1,22,20,13,,,,,,
1,8,23,20,,,,,,
1,36,23,16,,,,,,
2,21,23,16,,,,,,
1,32,17,14,,,,,,
1,16,21,18,,,,,,
1,17,19,12,,,,,,
1,18,23,20,,,,,,
1,24,22,17,,,,,,
1,32,25,19,,,,,,
1,42,24,18,,,,,,
1,4,18,12,,,,,,
2,19,19,18,,,,,,
1,20,18,19,,,,,,
1,21,16,22,,,,,,
1,17,17,17,,,,,,
1,16,22,16,,,,,,
2,24,21,14,,,,,,
2,18,17,19,,,,,,
1,37,19,20,,,,,,
2,50,16,23,,,,,,
2,42,14,10,,,,,,
1,40,12,14,,,,,,
1,35,15,19,,,,,,
1,29,13,18,,,,,,
1,55,18,17,,,,,,
2,25,22,14,,,,,,
2,33,25,16,,,,,,
1,39,16,15,,,,,,
1,17,23,20,,,,,,
1,22,15,19,,,,,,
1,25,13,22,,,,,,
1,32,11,11,,,,,,
2,39,24,10,,,,,,
1,49,16,10,,,,,,
2,26,13,14,,,,,,
2,44,10,16,,,,,,
1,25,9,17,,,,,,
1,15,14,18,,,,,,
2,50,21,19,,,,,,
2,42,21,12,,,,,,
1,20,22,18,,,,,,
1,31,18,19,,,,,,
1,19,17,14,,,,,,
2,24,19,20,,,,,,
2,27,23,16,,,,,,
2,29,25,18,,,,,,
2,30,20,20,,,,,,
1,31,16,18,,,,,,
2,28,16,19,,,,,,
1,23,18,17,,,,,,
2,29,15,20,,,,,,
1,35,17,18,,,,,,
1,18,25,18,,,,,,
1,20,23,22,,,,,,
1,35,19,18,,,,,,
1,32,18,16,,,,,,
1,31,20,21,,,,,,
2,20,21,18,,,,,,
2,19,24,21,,,,,,
1,18,19,18,,,,,,
2,24,20,21,,,,,,
2,22,20,19,,,,,,
1,21,24,20,,,,,,
2,26,17,16,,,,,,
1,18,18,15,,,,,,
1,27,19,16,,,,,,
1,29,21,20,,,,,,
1,30,21,18,,,,,,
1,20,20,21,,,,,,
1,5,18,13,,,,,,
2,25,22,17,,,,,,
2,3,19,10,,,,,,
2,7,21,14,,,,,,
1,50,24,21,,,,,,
1,16,19,16,,,,,,
1,5,22,12,,,,,,
1,20,17,18,,,,,,
1,4,21,10,,,,,,
1,23,22,15,,,,,,
1,17,18,16,,,,,,
1,13,16,16,,,,,,
2,18,19,17,,,,,,
2,2,21,6,,,,,,
2,3,23,11,,,,,,
2,7,21,13,,,,,,
2,14,22,16,,,,,,
1,20,19,17,,,,,,
1,31,24,17,,,,,,
1,12,21,16,,,,,,
1,6,22,10,,,,,,
1,3,18,19,,,,,,
1,27,25,20,,,,,,
1,26,23,17,,,,,,
1,36,21,15,,,,,,
1,31,21,16,,,,,,
1,25,23,18,,,,,,
1,4,19,13,,,,,,
1,27,21,18,,,,,,
1,2,18,9,,,,,,
1,9,20,15,,,,,,
1,60,23,22,,,,,,
2,18,24,17,,,,,,
2,4,18,14,,,,,,
1,22,27,17,,,,,,
2,2,18,9,,,,,,
1,24,20,10,,,,,,
1,19,21,17,,,,,,
1,15,19,17,,,,,,
2,19,21,18,,,,,,
2,3,17,8,,,,,,
1,4,19,12,,,,,,
1,8,20,12,,,,,,
1,16,22,17,,,,,,
1,21,24,18,,,,,,
1,32,23,18,,,,,,
1,14,20,17,,,,,,
1,7,20,16,,,,,,
1,4,18,10,,,,,,
1,29,22,18,,,,,,
1,28,20,18,,,,,,
1,35,22,19,,,,,,
1,30,22,18,,,,,,
2,24,24,17,,,,,,
1,30,23,18,,,,,,
2,3,18,11,,,,,,
1,20,22,18,,,,,,
1,34,23,20,,,,,,
1,35,24,21,,,,,,
1,12,20,14,,,,,,
1,30,23,18,,,,,,
1,15,20,14,,,,,,
1,18,19,18,,,,,,
1,17,21,16,,,,,,
1,10,21,14,,,,,,
1,25,27,20,,,,,,
1,32,25,19,,,,,,
1,34,22,19,,,,,,
1,37,24,20,,,,,,
2,1,11,6,,,,,,
1,1,12,5,,,,,,
2,3,11,6,,,,,,
1,4,13,5,,,,,,
1,3,18,8,,,,,,
2,2,11,87,,,,,,
2,1,12,7,,,,,,
1,4,22,11,,,,,,
2,3,20,10,,,,,,
2,4,22,11,,,,,,
1,5,22,15,,,,,,
2,6,20,14,,,,,,
2,7,21,15,,,,,,
1,8,20,13,,,,,,
2,9,23,15,,,,,,
1,10,24,16,,,,,,
2,11,25,16,,,,,,
2,12,26,14,,,,,,
1,13,28,19,,,,,,
2,19,29,19,,,,,,
1,20,26,17,,,,,,
1,21,28,18,,,,,,
2,22,20,28,,,,,,
2,23,20,18,,,,,,
1,24,28,18,,,,,,
2,25,26,20,,,,,,
1,26,26,20,,,,,,
1,27,28,20,,,,,,
2,20,29,20,,,,,,
1,1,11,6,,,,,,
2,1,11,5,,,,,,
1,4,20,9,,,,,,
2,4,22,11,,,,,,
1,1,19,9,,,,,,
1,3,18,9,,,,,,
1,3,18,8,,,,,,
2,1,12,7,,,,,,
2,3,20,10,,,,,,
2,4,22,11,,,,,,
1,5,20,14,,,,,,
2,6,22,15,,,,,,
2,7,24,16,,,,,,
1,8,24,15,,,,,,
1,9,24,16,,,,,,
2,10,22,13,,,,,,
1,11,24,16,,,,,,
2,12,25,15,,,,,,
2,13,25,16,,,,,,
1,15,26,17,,,,,,
1,17,28,18,,,,,,
2,17,26,18,,,,,,
1,18,26,19,,,,,,
2,18,28,19,,,,,,
1,20,29,19,,,,,,
2,20,28,19,,,,,,
1,21,26,17,,,,,,
2,21,25,18,,,,,,
1,21,26,20,,,,,,
1,1,11,6,,,,,,
2,1,11,5,,,,,,
1,1,12,5,,,,,,
1,1,13,5,,,,,,
2,1,14,5,,,,,,
2,5,20,14,,,,,,
1,5,21,15,,,,,,
1,5,22,15,,,,,,
1,10,22,12,,,,,,
2,10,22,12,,,,,,
2,10,20,13,,,,,,
1,9,21,14,,,,,,
1,11,23,15,,,,,,
2,11,24,16,,,,,,
1,11,24,16,,,,,,
1,12,26,17,,,,,,
1,12,26,16,,,,,,
2,12,26,18,,,,,,
1,13,28,18,,,,,,
1,14,26,18,,,,,,
2,19,26,18,,,,,,
1,17,27,18,,,,,,
1,19,28,26,,,,,,
2,18,29,19,,,,,,
1,19,29,20,,,,,,
1,19,28,18,,,,,,
2,20,26,17,,,,,,
1,20,28,18,,,,,,
1,22,26,20,,,,,,
1,2,18,9,,,,,,
2,2,19,9,,,,,,
1,3,11,8,,,,,,
2,4,18,8,,,,,,
2,4,20,10,,,,,,
1,4,19,10,,,,,,
2,4,20,11,,,,,,
1,4,20,11,,,,,,
1,4,20,11,,,,,,
1,5,20,10,,,,,,
1,6,21,9,,,,,,
2,6,21,10,,,,,,
2,6,20,9,,,,,,
1,8,18,18,,,,,,
2,11,19,13,,,,,,
1,12,21,11,,,,,,
2,15,22,17,,,,,,
1,18,20,19,,,,,,
1,14,22,14,,,,,,
2,20,21,18,,,,,,
1,29,23,21,,,,,,
1,37,22,17,,,,,,
2,49,24,19,,,,,,
2,52,22,16,,,,,,
2,23,22,18,,,,,,
1,40,22,18,,,,,,
1,51,23,19,,,,,,
1,65,22,18,,,,,,
1,62,24,21,,,,,,
1,65,22,18,,,,,,
1,46,22,21,,,,,,
1,65,23,17,,,,,,
1,44,25,19,,,,,,
1,40,22,18,,,,,,
1,68,21,18,,,,,,
1,44,23,19,,,,,,
1,37,22,17,,,,,,
1,51,23,19,,,,,,
1,39,22,17,,,,,,
1,51,22,18,,,,,,
1,29,23,21,,,,,,
1,18,20,19,,,,,,
2,18,21,15,,,,,,
2,16,22,18,,,,,,
2,18,23,19,,,,,,
2,24,23,16,,,,,,
2,52,22,16,,,,,,
2,1,19,9,,,,,,
1,14,22,18,,,,,,
2,49,24,19,,,,,,
2,15,22,17,,,,,,
1,8,21,11,,,,,,
1,5,20,10,,,,,,
1,1,18,9,,,,,,
2,28,22,18,,,,,,
2,21,22,18,,,,,,
2,20,21,18,,,,,,
1,10,20,14,,,,,,
1,7,19,11,,,,,,
1,7,20,12,,,,,,
1,6,21,9,,,,,,
1,7,20,12,,,,,,
1,12,21,11,,,,,,
1,10,21,12,,,,,,
1,7,21,11,,,,,,
1,6,20,12,,,,,,
1,7,21,13,,,,,,
1,9,20,11,,,,,,
1,6,20,9,,,,,,
1,6,20,10,,,,,,
1,6,21,10,,,,,,
2,6,21,9,,,,,,
2,6,20,9,,,,,,
2,6,19,4,,,,,,
2,6,20,5,,,,,,
2,6,20,14,,,,,,
2,9,20,13,,,,,,
2,7,21,9,,,,,,
2,6,20,9,,,,,,
2,9,20,11,,,,,,
2,10,22,14,,,,,,
2,12,19,14,,,,,,
2,11,19,13,,,,,,
2,10,20,13,,,,,,
2,6,19,14,,,,,,
1,10,19,19,,,,,,
1,11,19,19,,,,,,
1,13,20,20,,,,,,
1,12,20,19,,,,,,
1,14,21,20,,,,,,
1,14,21,19,,,,,,
1,15,22,19,,,,,,
1,10,19,19,,,,,,
2,10,19,18,,,,,,
1,8,18,18,,,,,,
1,9,19,19,,,,,,
2,6,22,9,,,,,,
1,10,20,14,,,,,,
1,8,19,13,,,,,,
2,7,20,13,,,,,,
2,8,20,13,,,,,,
2,8,19,13,,,,,,
1,9,20,13,,,,,,
1,8,21,13,,,,,,
1,8,18,11,,,,,,
2,10,20,14,,,,,,
2,8,22,12,,,,,,
2,10,24,13,,,,,,
2,8,21,11,,,,,,
2,13,22,14,,,,,,
2,11,20,13,,,,,,
2,13,22,14,,,,,,
2,11,21,13,,,,,,
1,4,19,10,,,,,,
1,11,21,14,,,,,,
2,12,21,15,,,,,,
2,4,20,10,,,,,,
1,11,20,13,,,,,,
2,8,20,14,,,,,,
1,15,22,14,,,,,,
1,8,22,9,,,,,,
2,10,24,13,,,,,,
2,10,20,14,,,,,,
2,7,20,13,,,,,,
1,11,20,12,,,,,,
2,9,20,10,,,,,,
1,6,19,9,,,,,,
1,6,21,10,,,,,,
1,7,16,10,,,,,,
2,7,19,10,,,,,,
1,9,20,10,,,,,,
2,8,20,10,,,,,,
1,10,20,12,,,,,,
1,9,21,10,,,,,,
2,9,20,11,,,,,,
1,12,20,12,,,,,,
1,9,20,10,,,,,,
1,7,21,11,,,,,,
1,8,20,10,,,,,,
1,5,20,9,,,,,,
1,5,19,9,,,,,,
2,12,18,8,,,,,,
2,8,20,9,,,,,,
1,10,20,12,,,,,,
1,5,19,8,,,,,,
2,10,20,11,,,,,,
2,12,20,10,,,,,,
2,13,20,11,,,,,,
2,12,19,10,,,,,,
2,9,21,11,,,,,,
2,6,19,10,,,,,,
1,3,19,8,,,,,,
2,13,20,12,,,,,,
2,13,20,14,,,,,,
2,18,20,14,,,,,,
1,11,20,14,,,,,,
1,9,20,13,,,,,,
2,10,24,12,,,,,,
2,10,20,14,,,,,,
2,13,22,14,,,,,,
1,10,24,12,,,,,,
2,7,20,13,,,,,,
2,11,21,13,,,,,,
2,18,20,14,,,,,,
2,9,13,13,,,,,,
2,4,20,10,,,,,,
2,10,20,14,,,,,,
1,11,20,13,,,,,,
2,10,20,14,,,,,,
2,11,21,13,,,,,,
2,7,20,13,,,,,,
1,6,22,9,,,,,,
1,10,20,14,,,,,,
1,8,19,19,,,,,,
2,10,24,12,,,,,,
2,13,22,14,,,,,,
1,8,20,11,,,,,,
1,8,21,12,,,,,,
2,9,20,13,,,,,,
1,8,18,11,,,,,,
